epoch,generator_loss,discriminator_loss,gan_loss,l1_loss
1,32.889537843976704,0.5339769724437169,0.9189849010535649,0.3197055289575032
2,31.617948553902764,0.376588075033256,1.2482755322115762,0.3036967303071703
3,30.943994832720076,0.36977803264345444,1.2583141941683633,0.2968568071297237
4,30.54377708980015,0.36607474884816577,1.2737256613799504,0.2927005150488445
5,30.0988665335519,0.3645540330239705,1.2916269433498382,0.28807239638907567
6,29.80978763580322,0.3655208403297833,1.3080607892785754,0.2850172689131328
7,28.839623118809293,0.38266080898897986,1.2780336107526507,0.2756158944112914
8,28.2824110521589,0.38642650059291295,1.271239024400711,0.2701117194550378
9,27.63958783830915,0.40354372552462986,1.2440301712921689,0.26395557744162423
10,27.21954820905413,0.4173024190749441,1.2291820068018777,0.2599036625453404
11,26.633210476466587,0.43561290757996696,1.19450108562197,0.2543870947616441
12,26.04762020111084,0.45518681279250556,1.1641223156452178,0.24883497936385018
13,25.56383540562221,0.4691162214534623,1.1453246295452117,0.2441851082444191
14,25.18909659249442,0.48026645992483413,1.1204787927014488,0.24068617863314493
15,24.798164907182965,0.49930474732603347,1.1039073206697192,0.23694257553134646
16,24.594633849007742,0.510971764411245,1.0877848557063512,0.23506849037749428
17,24.259885858808246,0.5173696060265813,1.0721768930980138,0.2318770895259721
18,24.029548443385533,0.5230531695059367,1.0636232842717852,0.229659252677645
19,23.56707658495222,0.5350780129432678,1.0510548142875944,0.2251602182643754
20,23.338302862984794,0.5394984174626214,1.0414395983730043,0.22296863206795284
21,23.020682901654926,0.5430737377916064,1.0306800821849278,0.21990002836499895
22,22.809823989868164,0.5524207422563008,1.0103104205642428,0.21799513616732188
23,22.68673480987549,0.554039380635534,1.0144050343547548,0.21672329817499433
24,22.171620701381137,0.5608781053338732,0.9918659654685429,0.21179754751069205
25,21.941510712759836,0.5697124290466309,0.9932649771656309,0.2094824578506606
26,21.618644687107633,0.5680072680541447,0.9760420051642826,0.2064260270340102
27,21.379056222098214,0.572734460234642,0.9699426790646144,0.2040911357317652
28,21.06674263000488,0.5792602585043226,0.96369004377297,0.2010305262037686
29,20.925505403791156,0.5816191184520721,0.9596145161560603,0.19965890918459211
30,20.546116420200892,0.5836078865187508,0.9512496973787036,0.19594866756881987
31,20.30675094604492,0.5902285147564752,0.9435673356907708,0.19363183668681552
32,20.167907153538295,0.5893797378029142,0.934176509976387,0.19233730652502604
33,19.868028804234097,0.5934334551436561,0.9289595853430884,0.18939069288117544
34,19.680333279200962,0.5994674127442496,0.9272224711520332,0.18753110808985574
35,19.487024675096784,0.5973846264396395,0.9128887974364417,0.18574135920831136
36,19.249579347882953,0.6004110676050186,0.910724149942398,0.18338855253798622
37,19.101836139133997,0.6057340105942317,0.9086975702217647,0.18193138637713024
38,18.93114236831665,0.6043755696501051,0.8968156759228025,0.1803432666829654
39,18.70399621146066,0.610289198075022,0.8975572629485812,0.1780643892288208
40,18.43287577220372,0.6120685921396528,0.8875315542731966,0.17545344237770352
41,18.339477282932826,0.6121378741945539,0.8813204029628209,0.17458156866686686
42,18.158177999768938,0.6171338047300067,0.8810264376231602,0.17277151559080398
43,17.965775132860458,0.6183996219294412,0.8734181222745351,0.170923570224217
44,17.836443811144147,0.6193271331276212,0.8719860189301627,0.16964457835469926
45,17.77849943433489,0.622947336265019,0.8694243423427854,0.1690907506431852
46,17.600047667367118,0.6235642738853182,0.8627449721949441,0.16737302801438741
